method,time,target,own_velocity_error,shuffled_velocity_error,own_target_margin,own_target_win,condition_velocity_shift_rms,checkpoint_step
original_injection,0.0,0,2.100635290145874,2.2162249088287354,0.11558961868286133,True,0.5474608540534973,400
original_injection,0.0,1,1.5693103075027466,1.2075016498565674,-0.3618086576461792,False,0.7939224243164062,400
original_injection,0.0,2,3.4573709964752197,4.813838958740234,1.3564679622650146,True,0.9728396534919739,400
original_injection,0.0,3,2.2398152351379395,2.2352139949798584,-0.004601240158081055,False,0.11162588000297546,400
original_injection,0.0,4,1.9571895599365234,1.9296807050704956,-0.027508854866027832,False,0.12932710349559784,400
original_injection,0.0,5,1.133897066116333,1.0265733003616333,-0.10732376575469971,False,0.3398285210132599,400
original_injection,0.0,6,2.31404972076416,2.248987913131714,-0.06506180763244629,False,0.0745900496840477,400
original_injection,0.0,7,1.8237186670303345,1.8200664520263672,-0.003652215003967285,False,0.257548451423645,400
original_injection,0.125,0,1.189896583557129,1.7392909526824951,0.5493943691253662,True,0.5241262316703796,400
original_injection,0.125,1,1.8658088445663452,1.2712860107421875,-0.5945228338241577,False,0.8207117915153503,400
original_injection,0.125,2,2.308690071105957,2.755474805831909,0.44678473472595215,True,0.9742546677589417,400
original_injection,0.125,3,2.8182225227355957,2.836717128753662,0.018494606018066406,True,0.1235404759645462,400
original_injection,0.125,4,2.5363874435424805,2.383873224258423,-0.15251421928405762,False,0.17402692139148712,400
original_injection,0.125,5,1.8018007278442383,2.0391430854797363,0.23734235763549805,True,0.29081103205680847,400
original_injection,0.125,6,2.593137264251709,2.456759214401245,-0.13637804985046387,False,0.07401498407125473,400
original_injection,0.125,7,2.0893497467041016,2.123077392578125,0.03372764587402344,True,0.24114449322223663,400
original_injection,0.25,0,1.1577606201171875,1.150885820388794,-0.006874799728393555,False,0.527668297290802,400
original_injection,0.25,1,1.3138790130615234,2.489903450012207,1.1760244369506836,True,0.9129462242126465,400
original_injection,0.25,2,1.3884294033050537,2.4583733081817627,1.069943904876709,True,0.8968194723129272,400
original_injection,0.25,3,1.0728461742401123,1.1462851762771606,0.07343900203704834,True,0.11924005299806595,400
original_injection,0.25,4,2.004560947418213,1.9859907627105713,-0.0185701847076416,False,0.09598062187433243,400
original_injection,0.25,5,1.1431052684783936,1.3280616998672485,0.18495643138885498,True,0.3418889343738556,400
original_injection,0.25,6,2.146566152572632,2.089897632598877,-0.05666851997375488,False,0.08141013979911804,400
original_injection,0.25,7,2.052114963531494,2.2474029064178467,0.19528794288635254,True,0.22291706502437592,400
original_injection,0.375,0,2.521853446960449,3.42482852935791,0.9029750823974609,True,0.5027334690093994,400
original_injection,0.375,1,1.563532829284668,2.5460305213928223,0.9824976921081543,True,0.8834467530250549,400
original_injection,0.375,2,0.9822803139686584,1.609037160873413,0.6267568469047546,True,0.9440099000930786,400
original_injection,0.375,3,1.8372275829315186,1.9852805137634277,0.14805293083190918,True,0.12368001788854599,400
original_injection,0.375,4,1.1253256797790527,1.1814801692962646,0.056154489517211914,True,0.12233750522136688,400
original_injection,0.375,5,1.6692228317260742,1.5729278326034546,-0.09629499912261963,False,0.3803524374961853,400
original_injection,0.375,6,1.228501319885254,1.2318118810653687,0.003310561180114746,True,0.08067438006401062,400
original_injection,0.375,7,1.2398250102996826,1.4523249864578247,0.2124999761581421,True,0.2100282907485962,400
original_injection,0.5,0,2.240781307220459,2.511256694793701,0.2704753875732422,True,0.5340640544891357,400
original_injection,0.5,1,2.394059181213379,2.148970365524292,-0.24508881568908691,False,0.9285352826118469,400
original_injection,0.5,2,1.2086632251739502,2.3763933181762695,1.1677300930023193,True,0.94722980260849,400
original_injection,0.5,3,2.1499392986297607,2.100273370742798,-0.04966592788696289,False,0.10734773427248001,400
original_injection,0.5,4,2.449491024017334,2.323227643966675,-0.12626338005065918,False,0.12361934781074524,400
original_injection,0.5,5,1.9625804424285889,2.5129318237304688,0.5503513813018799,True,0.360548734664917,400
original_injection,0.5,6,1.1674662828445435,1.189394235610962,0.021927952766418457,True,0.0785975456237793,400
original_injection,0.5,7,1.6384251117706299,1.8627806901931763,0.2243555784225464,True,0.2540648579597473,400
original_injection,0.625,0,2.318446636199951,1.6714775562286377,-0.6469690799713135,False,0.5458222031593323,400
original_injection,0.625,1,1.8461222648620605,2.6625051498413086,0.816382884979248,True,0.9278029799461365,400
original_injection,0.625,2,1.5000683069229126,1.8186452388763428,0.3185769319534302,True,0.9547314643859863,400
original_injection,0.625,3,1.8022172451019287,1.7928303480148315,-0.009386897087097168,False,0.09954558312892914,400
original_injection,0.625,4,1.8877520561218262,1.8649811744689941,-0.02277088165283203,False,0.08525833487510681,400
original_injection,0.625,5,2.2539544105529785,2.6732001304626465,0.41924571990966797,True,0.31977424025535583,400
original_injection,0.625,6,1.6220777034759521,1.5639896392822266,-0.058088064193725586,False,0.07752349972724915,400
original_injection,0.625,7,1.9104888439178467,1.9755358695983887,0.06504702568054199,True,0.21734775602817535,400
original_injection,0.75,0,1.611318588256836,1.8907294273376465,0.27941083908081055,True,0.5520101189613342,400
original_injection,0.75,1,1.2175042629241943,1.531595230102539,0.3140909671783447,True,0.9348165392875671,400
original_injection,0.75,2,1.7429699897766113,3.6518797874450684,1.908909797668457,True,0.9377769231796265,400
original_injection,0.75,3,2.073961019515991,2.1151957511901855,0.041234731674194336,True,0.09227867424488068,400
original_injection,0.75,4,1.8782408237457275,1.8621017932891846,-0.01613903045654297,False,0.13933634757995605,400
original_injection,0.75,5,2.707242965698242,2.6219043731689453,-0.08533859252929688,False,0.4286394417285919,400
original_injection,0.75,6,2.3425774574279785,2.3760786056518555,0.03350114822387695,True,0.07875551283359528,400
original_injection,0.75,7,1.8420872688293457,2.0393505096435547,0.19726324081420898,True,0.21153196692466736,400
original_injection,0.875,0,1.818379282951355,2.1879866123199463,0.3696073293685913,True,0.5388901829719543,400
original_injection,0.875,1,1.8485671281814575,2.586899995803833,0.7383328676223755,True,0.8531008362770081,400
original_injection,0.875,2,1.8530611991882324,2.3602054119110107,0.5071442127227783,True,0.9936951994895935,400
original_injection,0.875,3,2.5426220893859863,2.4680726528167725,-0.07454943656921387,False,0.0878174677491188,400
original_injection,0.875,4,5.019730091094971,5.27742338180542,0.2576932907104492,True,0.17499969899654388,400
original_injection,0.875,5,1.34396493434906,1.6416782140731812,0.2977132797241211,True,0.3591573238372803,400
original_injection,0.875,6,1.7739728689193726,1.778498649597168,0.00452578067779541,True,0.07649188488721848,400
original_injection,0.875,7,1.592087984085083,1.5146857500076294,-0.07740223407745361,False,0.21565446257591248,400
original_injection,1.0,0,2.4873337745666504,2.872342109680176,0.3850083351135254,True,0.5478323101997375,400
original_injection,1.0,1,1.8586344718933105,1.8192541599273682,-0.03938031196594238,False,0.9044948220252991,400
original_injection,1.0,2,2.043814182281494,2.2105541229248047,0.16673994064331055,True,0.9797699451446533,400
original_injection,1.0,3,2.532545804977417,2.5069775581359863,-0.025568246841430664,False,0.08539775758981705,400
original_injection,1.0,4,1.7844948768615723,1.7192893028259277,-0.06520557403564453,False,0.14184127748012543,400
original_injection,1.0,5,2.5812466144561768,2.5729451179504395,-0.008301496505737305,False,0.35948190093040466,400
original_injection,1.0,6,3.306407928466797,3.330198287963867,0.023790359497070312,True,0.0774625688791275,400
original_injection,1.0,7,2.5540871620178223,2.60213041305542,0.048043251037597656,True,0.23327000439167023,400
original_injection,0.0,0,2.243475914001465,2.4008708000183105,0.1573948860168457,True,0.8045315146446228,800
original_injection,0.0,1,1.5510611534118652,1.274670124053955,-0.27639102935791016,False,0.8372498154640198,800
original_injection,0.0,2,3.493866443634033,4.865742206573486,1.3718757629394531,True,1.0151578187942505,800
original_injection,0.0,3,1.9803011417388916,1.9131557941436768,-0.06714534759521484,False,0.1518663614988327,800
original_injection,0.0,4,1.4536045789718628,1.4246532917022705,-0.028951287269592285,False,0.15802881121635437,800
original_injection,0.0,5,1.150712251663208,0.9415963888168335,-0.2091158628463745,False,0.452940434217453,800
original_injection,0.0,6,2.0917623043060303,2.0522375106811523,-0.03952479362487793,False,0.0525529608130455,800
original_injection,0.0,7,2.122197151184082,2.081752300262451,-0.04044485092163086,False,0.18145829439163208,800
original_injection,0.125,0,1.0123670101165771,1.2988879680633545,0.28652095794677734,True,0.5862503051757812,800
original_injection,0.125,1,1.6884613037109375,1.166210651397705,-0.5222506523132324,False,0.9497202634811401,800
original_injection,0.125,2,2.1737067699432373,2.596278667449951,0.42257189750671387,True,0.947577714920044,800
original_injection,0.125,3,2.2505412101745605,2.237992763519287,-0.012548446655273438,False,0.16788458824157715,800
original_injection,0.125,4,2.297919511795044,2.252368927001953,-0.04555058479309082,False,0.1702321171760559,800
original_injection,0.125,5,2.021239757537842,2.45735502243042,0.4361152648925781,True,0.39126095175743103,800
original_injection,0.125,6,1.9264065027236938,1.8773040771484375,-0.04910242557525635,False,0.054615460336208344,800
original_injection,0.125,7,2.0389151573181152,2.201988697052002,0.16307353973388672,True,0.17381015419960022,800
original_injection,0.25,0,1.0322937965393066,0.822128415107727,-0.2101653814315796,False,0.5628663897514343,800
original_injection,0.25,1,1.116665244102478,2.8497447967529297,1.7330795526504517,True,1.1193792819976807,800
original_injection,0.25,2,1.1752471923828125,1.8971084356307983,0.7218612432479858,True,0.9416624903678894,800
original_injection,0.25,3,0.8466902375221252,0.8981948494911194,0.05150461196899414,True,0.18122032284736633,800
original_injection,0.25,4,1.712946891784668,1.6242947578430176,-0.08865213394165039,False,0.16252218186855316,800
original_injection,0.25,5,0.8488810658454895,1.020094633102417,0.1712135672569275,True,0.48463431000709534,800
original_injection,0.25,6,1.9298832416534424,1.902320146560669,-0.027563095092773438,False,0.04959993436932564,800
original_injection,0.25,7,2.0169498920440674,2.1146650314331055,0.09771513938903809,True,0.1499834954738617,800
original_injection,0.375,0,2.165853977203369,2.893527030944824,0.7276730537414551,True,0.6368507146835327,800
original_injection,0.375,1,1.5543208122253418,2.9083356857299805,1.3540148735046387,True,0.9894469380378723,800
original_injection,0.375,2,0.9523467421531677,1.668321967124939,0.7159752249717712,True,0.9881459474563599,800
original_injection,0.375,3,1.3788161277770996,1.5345358848571777,0.15571975708007812,True,0.18980538845062256,800
original_injection,0.375,4,1.1151089668273926,1.2186129093170166,0.10350394248962402,True,0.15493546426296234,800
original_injection,0.375,5,1.5568552017211914,1.4389445781707764,-0.11791062355041504,False,0.4627280831336975,800
original_injection,0.375,6,1.0428009033203125,1.046715497970581,0.003914594650268555,True,0.0639861449599266,800
original_injection,0.375,7,1.0890343189239502,1.1819629669189453,0.09292864799499512,True,0.14537186920642853,800
original_injection,0.5,0,1.9409133195877075,1.9333053827285767,-0.007607936859130859,False,0.5769755840301514,800
original_injection,0.5,1,2.3801932334899902,2.3663175106048584,-0.013875722885131836,False,1.0146816968917847,800
original_injection,0.5,2,0.9148458242416382,2.068899154663086,1.1540533304214478,True,0.9672834277153015,800
original_injection,0.5,3,2.167367696762085,1.9817363023757935,-0.1856313943862915,False,0.1735893189907074,800
original_injection,0.5,4,2.1778440475463867,2.1320621967315674,-0.045781850814819336,False,0.1568683385848999,800
original_injection,0.5,5,1.9370068311691284,2.8525352478027344,0.915528416633606,True,0.47457221150398254,800
original_injection,0.5,6,1.2877750396728516,1.288588285446167,0.0008132457733154297,True,0.05939261242747307,800
original_injection,0.5,7,1.458559513092041,1.661189079284668,0.20262956619262695,True,0.19478033483028412,800
original_injection,0.625,0,2.4506587982177734,1.4941291809082031,-0.9565296173095703,False,0.6556488871574402,800
original_injection,0.625,1,1.6018624305725098,2.773698329925537,1.1718358993530273,True,1.0218112468719482,800
original_injection,0.625,2,1.337104082107544,1.7874476909637451,0.45034360885620117,True,0.9576813578605652,800
original_injection,0.625,3,1.6519553661346436,1.5725724697113037,-0.07938289642333984,False,0.16395977139472961,800
original_injection,0.625,4,1.7307639122009277,1.7563912868499756,0.02562737464904785,True,0.1532585769891739,800
original_injection,0.625,5,1.8569042682647705,2.3971519470214844,0.5402476787567139,True,0.4463096857070923,800
original_injection,0.625,6,1.5543960332870483,1.5112619400024414,-0.043134093284606934,False,0.05611462518572807,800
original_injection,0.625,7,1.7367022037506104,1.7930936813354492,0.05639147758483887,True,0.175353541970253,800
original_injection,0.75,0,1.3984026908874512,1.663914442062378,0.26551175117492676,True,0.7016075849533081,800
original_injection,0.75,1,0.9522320032119751,1.576775074005127,0.6245430707931519,True,1.048961877822876,800
original_injection,0.75,2,1.6578054428100586,3.409078598022461,1.7512731552124023,True,0.9608216285705566,800
original_injection,0.75,3,1.7988848686218262,1.8044836521148682,0.005598783493041992,True,0.16532322764396667,800
original_injection,0.75,4,1.9903357028961182,1.997952938079834,0.00761723518371582,True,0.1612350344657898,800
original_injection,0.75,5,3.0254063606262207,3.007030487060547,-0.018375873565673828,False,0.6188241839408875,800
original_injection,0.75,6,2.085541248321533,2.128317356109619,0.04277610778808594,True,0.060298625379800797,800
original_injection,0.75,7,1.835474967956543,1.8773308992385864,0.04185593128204346,True,0.15257512032985687,800
original_injection,0.875,0,1.506662130355835,1.7654780149459839,0.2588158845901489,True,0.6904687285423279,800
original_injection,0.875,1,2.1395609378814697,2.8925557136535645,0.7529947757720947,True,0.9768235683441162,800
original_injection,0.875,2,2.0600340366363525,2.521059513092041,0.4610254764556885,True,0.9881986975669861,800
original_injection,0.875,3,2.22892427444458,2.0980052947998047,-0.1309189796447754,False,0.1661997139453888,800
original_injection,0.875,4,4.5914082527160645,4.938434600830078,0.34702634811401367,True,0.17678235471248627,800
original_injection,0.875,5,1.267831563949585,1.7072906494140625,0.43945908546447754,True,0.47902530431747437,800
original_injection,0.875,6,1.8961613178253174,1.8968706130981445,0.0007092952728271484,True,0.05390935391187668,800
original_injection,0.875,7,1.401106595993042,1.331101894378662,-0.07000470161437988,False,0.1420704871416092,800
original_injection,1.0,0,2.151155471801758,2.427682876586914,0.27652740478515625,True,0.687381386756897,800
original_injection,1.0,1,1.6902035474777222,1.8929386138916016,0.2027350664138794,True,1.01799476146698,800
original_injection,1.0,2,2.235201120376587,2.6087796688079834,0.3735785484313965,True,0.9852248430252075,800
original_injection,1.0,3,2.709493637084961,2.6484007835388184,-0.06109285354614258,False,0.16228768229484558,800
original_injection,1.0,4,1.6220519542694092,1.544250249862671,-0.07780170440673828,False,0.16204816102981567,800
original_injection,1.0,5,2.8958582878112793,2.926178455352783,0.030320167541503906,True,0.47335705161094666,800
original_injection,1.0,6,3.6539602279663086,3.6618003845214844,0.007840156555175781,True,0.05569864809513092,800
original_injection,1.0,7,2.2748193740844727,2.4065542221069336,0.13173484802246094,True,0.16463924944400787,800
residual_field,0.0,0,2.1922521591186523,2.1878461837768555,-0.004405975341796875,False,0.16576054692268372,400
residual_field,0.0,1,1.1993193626403809,1.1283035278320312,-0.07101583480834961,False,0.250642329454422,400
residual_field,0.0,2,3.672833204269409,4.0638203620910645,0.3909871578216553,True,0.29392147064208984,400
residual_field,0.0,3,2.451904773712158,2.4043173789978027,-0.04758739471435547,False,0.03658890724182129,400
residual_field,0.0,4,2.1082775592803955,2.105037212371826,-0.003240346908569336,False,0.03680633753538132,400
residual_field,0.0,5,1.2000610828399658,1.1566216945648193,-0.043439388275146484,False,0.07377646863460541,400
residual_field,0.0,6,2.246289014816284,2.2235898971557617,-0.02269911766052246,False,0.024027019739151,400
residual_field,0.0,7,1.7684590816497803,1.7755483388900757,0.00708925724029541,True,0.03535952419042587,400
residual_field,0.125,0,1.1213688850402832,1.4442766904830933,0.32290780544281006,True,0.3929058015346527,400
residual_field,0.125,1,1.5444533824920654,1.2483912706375122,-0.2960621118545532,False,0.5897477865219116,400
residual_field,0.125,2,2.220790147781372,2.469188928604126,0.2483987808227539,True,0.6443140506744385,400
residual_field,0.125,3,2.797273635864258,2.77040958404541,-0.026864051818847656,False,0.08778354525566101,400
residual_field,0.125,4,2.592177391052246,2.5469415187835693,-0.04523587226867676,False,0.09595286846160889,400
residual_field,0.125,5,1.6812176704406738,1.77679443359375,0.09557676315307617,True,0.12501244246959686,400
residual_field,0.125,6,2.5268678665161133,2.4510035514831543,-0.07586431503295898,False,0.0445777103304863,400
residual_field,0.125,7,2.206812858581543,2.186086416244507,-0.020726442337036133,False,0.09572630375623703,400
residual_field,0.25,0,1.1255279779434204,1.0690288543701172,-0.05649912357330322,False,0.4869554042816162,400
residual_field,0.25,1,1.249582052230835,2.4239516258239746,1.1743695735931396,True,0.8703634142875671,400
residual_field,0.25,2,1.4505534172058105,2.4374587535858154,0.9869053363800049,True,0.9040626287460327,400
residual_field,0.25,3,1.0766377449035645,1.0852038860321045,0.008566141128540039,True,0.11260425299406052,400
residual_field,0.25,4,2.04409122467041,2.0019683837890625,-0.042122840881347656,False,0.09528840333223343,400
residual_field,0.25,5,1.132638692855835,1.1703579425811768,0.0377192497253418,True,0.16455483436584473,400
residual_field,0.25,6,2.259035110473633,2.1746938228607178,-0.08434128761291504,False,0.07567600160837173,400
residual_field,0.25,7,2.044163942337036,2.1696507930755615,0.1254868507385254,True,0.1286919265985489,400
residual_field,0.375,0,2.3914873600006104,3.3903768062591553,0.9988894462585449,True,0.576457679271698,400
residual_field,0.375,1,1.4992915391921997,2.866854190826416,1.3675626516342163,True,1.0203418731689453,400
residual_field,0.375,2,0.9438437223434448,1.7862355709075928,0.842391848564148,True,1.041393756866455,400
residual_field,0.375,3,1.755919337272644,1.7847422361373901,0.028822898864746094,True,0.13184048235416412,400
residual_field,0.375,4,1.0519990921020508,1.1443085670471191,0.09230947494506836,True,0.1276589184999466,400
residual_field,0.375,5,1.6931654214859009,1.5365242958068848,-0.1566411256790161,False,0.25408461689949036,400
residual_field,0.375,6,1.3207606077194214,1.270802617073059,-0.049957990646362305,False,0.10067678242921829,400
residual_field,0.375,7,1.259454607963562,1.4048218727111816,0.14536726474761963,True,0.1469261348247528,400
residual_field,0.5,0,2.2344932556152344,2.4070887565612793,0.17259550094604492,True,0.6343010663986206,400
residual_field,0.5,1,2.4862208366394043,2.2482528686523438,-0.23796796798706055,False,1.0866475105285645,400
residual_field,0.5,2,1.1063019037246704,2.678312063217163,1.5720101594924927,True,1.1391077041625977,400
residual_field,0.5,3,2.1447958946228027,1.935291051864624,-0.2095048427581787,False,0.14187881350517273,400
residual_field,0.5,4,2.4617977142333984,2.350731372833252,-0.11106634140014648,False,0.14498668909072876,400
residual_field,0.5,5,1.8855600357055664,2.1175436973571777,0.23198366165161133,True,0.17850348353385925,400
residual_field,0.5,6,1.2109218835830688,1.206683874130249,-0.004238009452819824,False,0.09952166676521301,400
residual_field,0.5,7,1.6433889865875244,1.751361608505249,0.10797262191772461,True,0.14977949857711792,400
residual_field,0.625,0,2.4348039627075195,1.6601697206497192,-0.7746342420578003,False,0.5737913250923157,400
residual_field,0.625,1,1.7894563674926758,2.8275222778320312,1.0380659103393555,True,1.0504823923110962,400
residual_field,0.625,2,1.3532707691192627,2.0327436923980713,0.6794729232788086,True,1.0803241729736328,400
residual_field,0.625,3,1.822548270225525,1.7117805480957031,-0.11076772212982178,False,0.14043119549751282,400
residual_field,0.625,4,1.8593261241912842,1.8292553424835205,-0.030070781707763672,False,0.10653018206357956,400
residual_field,0.625,5,2.164299249649048,2.4806783199310303,0.3163790702819824,True,0.23281380534172058,400
residual_field,0.625,6,1.6486024856567383,1.5588586330413818,-0.08974385261535645,False,0.08747243136167526,400
residual_field,0.625,7,1.9041199684143066,1.9152138233184814,0.011093854904174805,True,0.12042791396379471,400
residual_field,0.75,0,1.5463006496429443,1.768296718597412,0.22199606895446777,True,0.5538569688796997,400
residual_field,0.75,1,1.1407536268234253,1.528881549835205,0.3881279230117798,True,0.8774842619895935,400
residual_field,0.75,2,1.8375537395477295,3.6072092056274414,1.769655466079712,True,0.899881899356842,400
residual_field,0.75,3,2.0670924186706543,2.0190958976745605,-0.04799652099609375,False,0.12906543910503387,400
residual_field,0.75,4,1.8879430294036865,1.8643252849578857,-0.02361774444580078,False,0.1235516294836998,400
residual_field,0.75,5,2.7036566734313965,2.5941810607910156,-0.10947561264038086,False,0.2488097846508026,400
residual_field,0.75,6,2.1473865509033203,2.2199082374572754,0.07252168655395508,True,0.0752214565873146,400
